"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1477	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"#Alzheimer disease (G30)"	"GR113-052"	2084	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11397	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1541	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"#Alzheimer disease (G30)"	"GR113-052"	1978	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11142	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1530	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"#Alzheimer disease (G30)"	"GR113-052"	2034	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11175	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1480	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"#Alzheimer disease (G30)"	"GR113-052"	2087	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11384	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1450	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"#Alzheimer disease (G30)"	"GR113-052"	2077	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11361	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1446	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"#Alzheimer disease (G30)"	"GR113-052"	2086	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11444	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1530	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"#Alzheimer disease (G30)"	"GR113-052"	2112	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11289	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1465	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"#Alzheimer disease (G30)"	"GR113-052"	2075	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11550	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1476	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"#Alzheimer disease (G30)"	"GR113-052"	2058	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11341	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1490	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"#Alzheimer disease (G30)"	"GR113-052"	2177	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11220	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1476	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"#Alzheimer disease (G30)"	"GR113-052"	2075	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11462	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1511	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"#Alzheimer disease (G30)"	"GR113-052"	2172	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11635	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1567	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"#Alzheimer disease (G30)"	"GR113-052"	2234	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11403	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1477	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"#Alzheimer disease (G30)"	"GR113-052"	2140	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11637	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1574	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"#Alzheimer disease (G30)"	"GR113-052"	2202	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11592	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1579	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"#Alzheimer disease (G30)"	"GR113-052"	2199	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11622	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1520	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"#Alzheimer disease (G30)"	"GR113-052"	2245	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11769	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1655	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"#Alzheimer disease (G30)"	"GR113-052"	2411	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11685	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1628	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"#Alzheimer disease (G30)"	"GR113-052"	2380	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11657	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1623	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"#Alzheimer disease (G30)"	"GR113-052"	2371	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11694	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1648	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"#Alzheimer disease (G30)"	"GR113-052"	2415	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 47 ending November 24, 2018"	"2018/47"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11717	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 47 ending November 24, 2018"	"2018/47"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1700	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 47 ending November 24, 2018"	"2018/47"	"#Alzheimer disease (G30)"	"GR113-052"	2527	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 48 ending December 01, 2018"	"2018/48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11388	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 48 ending December 01, 2018"	"2018/48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1719	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 48 ending December 01, 2018"	"2018/48"	"#Alzheimer disease (G30)"	"GR113-052"	2384	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 49 ending December 08, 2018"	"2018/49"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11694	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 49 ending December 08, 2018"	"2018/49"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1759	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 49 ending December 08, 2018"	"2018/49"	"#Alzheimer disease (G30)"	"GR113-052"	2469	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 50 ending December 15, 2018"	"2018/50"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11895	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 50 ending December 15, 2018"	"2018/50"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1658	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 50 ending December 15, 2018"	"2018/50"	"#Alzheimer disease (G30)"	"GR113-052"	2504	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 51 ending December 22, 2018"	"2018/51"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11729	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 51 ending December 22, 2018"	"2018/51"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1748	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 51 ending December 22, 2018"	"2018/51"	"#Alzheimer disease (G30)"	"GR113-052"	2500	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 52 ending December 29, 2018"	"2018/52"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11423	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 52 ending December 29, 2018"	"2018/52"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1708	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 52 ending December 29, 2018"	"2018/52"	"#Alzheimer disease (G30)"	"GR113-052"	2408	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 01 ending January 05, 2019"	"2019/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11634	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 01 ending January 05, 2019"	"2019/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1939	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 01 ending January 05, 2019"	"2019/01"	"#Alzheimer disease (G30)"	"GR113-052"	2411	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 02 ending January 12, 2019"	"2019/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11864	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 02 ending January 12, 2019"	"2019/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1757	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 02 ending January 12, 2019"	"2019/02"	"#Alzheimer disease (G30)"	"GR113-052"	2450	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 03 ending January 19, 2019"	"2019/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11853	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 03 ending January 19, 2019"	"2019/03"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1824	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 03 ending January 19, 2019"	"2019/03"	"#Alzheimer disease (G30)"	"GR113-052"	2607	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 04 ending January 26, 2019"	"2019/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11709	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 04 ending January 26, 2019"	"2019/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1919	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 04 ending January 26, 2019"	"2019/04"	"#Alzheimer disease (G30)"	"GR113-052"	2446	Not Applicable	Not Applicable
