"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"MCD - ICD-10 113 Cause List"	"MCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4952	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"Alzheimer disease (G30)"	"GR113-052"	2532	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12358	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4879	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"Alzheimer disease (G30)"	"GR113-052"	2567	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12460	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4942	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"Alzheimer disease (G30)"	"GR113-052"	2497	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12356	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4919	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"Alzheimer disease (G30)"	"GR113-052"	2518	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12512	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5053	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"Alzheimer disease (G30)"	"GR113-052"	2442	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12277	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4825	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"Alzheimer disease (G30)"	"GR113-052"	2482	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12287	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4829	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"Alzheimer disease (G30)"	"GR113-052"	2527	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12467	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4792	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"Alzheimer disease (G30)"	"GR113-052"	2489	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12433	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4853	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"Alzheimer disease (G30)"	"GR113-052"	2535	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12566	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4941	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"Alzheimer disease (G30)"	"GR113-052"	2548	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12362	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4794	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"Alzheimer disease (G30)"	"GR113-052"	2508	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12672	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4697	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"Alzheimer disease (G30)"	"GR113-052"	2463	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12481	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4758	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"Alzheimer disease (G30)"	"GR113-052"	2637	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12338	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4833	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"Alzheimer disease (G30)"	"GR113-052"	2509	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12568	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4939	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"Alzheimer disease (G30)"	"GR113-052"	2620	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12816	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4917	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"Alzheimer disease (G30)"	"GR113-052"	2669	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12529	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4937	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"Alzheimer disease (G30)"	"GR113-052"	2577	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12802	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4962	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"Alzheimer disease (G30)"	"GR113-052"	2669	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12742	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4968	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"Alzheimer disease (G30)"	"GR113-052"	2654	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12855	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5104	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"Alzheimer disease (G30)"	"GR113-052"	2756	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12963	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5190	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"Alzheimer disease (G30)"	"GR113-052"	2891	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12859	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5102	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"Alzheimer disease (G30)"	"GR113-052"	2862	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12867	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5250	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"Alzheimer disease (G30)"	"GR113-052"	2833	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12930	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5466	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"Alzheimer disease (G30)"	"GR113-052"	2918	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 47 ending November 24, 2018"	"2018/47"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13018	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 47 ending November 24, 2018"	"2018/47"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5422	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 47 ending November 24, 2018"	"2018/47"	"Alzheimer disease (G30)"	"GR113-052"	3033	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 48 ending December 01, 2018"	"2018/48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12634	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 48 ending December 01, 2018"	"2018/48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5599	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 48 ending December 01, 2018"	"2018/48"	"Alzheimer disease (G30)"	"GR113-052"	2875	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 49 ending December 08, 2018"	"2018/49"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12982	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 49 ending December 08, 2018"	"2018/49"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5509	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 49 ending December 08, 2018"	"2018/49"	"Alzheimer disease (G30)"	"GR113-052"	2965	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 50 ending December 15, 2018"	"2018/50"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13160	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 50 ending December 15, 2018"	"2018/50"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5454	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 50 ending December 15, 2018"	"2018/50"	"Alzheimer disease (G30)"	"GR113-052"	3032	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 51 ending December 22, 2018"	"2018/51"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12957	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 51 ending December 22, 2018"	"2018/51"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5559	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 51 ending December 22, 2018"	"2018/51"	"Alzheimer disease (G30)"	"GR113-052"	3019	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 52 ending December 29, 2018"	"2018/52"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12625	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 52 ending December 29, 2018"	"2018/52"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5662	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 52 ending December 29, 2018"	"2018/52"	"Alzheimer disease (G30)"	"GR113-052"	2887	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week Not Available"	"2018/99"	"Diabetes mellitus (E10-E14)"	"GR113-046"	32	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 01 ending January 05, 2019"	"2019/01"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12967	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 01 ending January 05, 2019"	"2019/01"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5848	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 01 ending January 05, 2019"	"2019/01"	"Alzheimer disease (G30)"	"GR113-052"	2939	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 02 ending January 12, 2019"	"2019/02"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13212	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 02 ending January 12, 2019"	"2019/02"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5678	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 02 ending January 12, 2019"	"2019/02"	"Alzheimer disease (G30)"	"GR113-052"	2973	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 03 ending January 19, 2019"	"2019/03"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13189	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 03 ending January 19, 2019"	"2019/03"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5784	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 03 ending January 19, 2019"	"2019/03"	"Alzheimer disease (G30)"	"GR113-052"	3137	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 04 ending January 26, 2019"	"2019/04"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13058	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 04 ending January 26, 2019"	"2019/04"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5947	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 04 ending January 26, 2019"	"2019/04"	"Alzheimer disease (G30)"	"GR113-052"	2978	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 05 ending February 02, 2019"	"2019/05"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13022	Not Applicable	Not Applicable
	"2019"	"2019"	"2019 Week 05 ending February 02, 2019"	"2019/05"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5971	Not Applicable	Not Applicable
