"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"Residence State"	"Residence State Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	703	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	94	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	96	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	784	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	128	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	296	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1174	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	181	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	377	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	653	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	118	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	92	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	800	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	145	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	232	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1184	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	169	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	352	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	688	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	96	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	82	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	833	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	144	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	206	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1155	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	189	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	375	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	672	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	92	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	85	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	797	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	128	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	210	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1202	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	197	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	361	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	680	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	79	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	71	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	746	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	101	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	235	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1182	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	218	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	351	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	677	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	94	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	77	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	790	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	125	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	193	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1245	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	247	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	348	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	684	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	97	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	88	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	851	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	118	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	149	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1156	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	193	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	385	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	687	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	90	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	79	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	762	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	125	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	190	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1162	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	206	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	365	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	662	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	70	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	81	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	815	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	115	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	181	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1115	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	206	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	303	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	653	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	86	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	79	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	722	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	107	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	196	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1133	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	190	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	302	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	677	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	82	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	61	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	783	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	98	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	206	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1105	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	174	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	300	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	652	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	74	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	62	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	779	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	98	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	168	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1115	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	177	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	323	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	661	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	90	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	62	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	740	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	86	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	183	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1107	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	192	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	322	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	649	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	86	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	66	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	784	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	104	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	163	Not Applicable	Not Applicable
