"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"Residence State"	"Residence State Code"	"MCD - ICD-10 113 Cause List"	"MCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1367	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	714	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	541	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	728	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	297	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	138	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	906	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	583	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	326	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1327	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	734	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	444	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	794	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	277	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	117	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	879	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	525	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	357	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1329	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	726	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	464	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	759	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	324	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	117	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	893	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	537	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	284	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1324	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	668	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	441	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	779	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	317	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	113	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	940	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	490	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	246	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1282	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	702	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	443	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	755	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	303	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	116	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	900	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	476	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	259	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1350	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	691	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	440	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	766	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	288	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	99	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	841	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	455	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	278	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1346	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	742	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	437	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	749	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	301	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	100	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	880	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	445	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	232	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1391	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	772	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	445	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	754	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	304	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	113	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	951	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	468	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	193	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1310	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	732	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	468	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	772	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	298	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	101	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	861	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	488	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	236	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1299	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	662	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	445	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	742	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	264	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	107	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	909	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	441	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	226	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1257	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	666	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	358	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	721	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	261	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	97	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	827	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	451	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	233	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1266	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	637	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	380	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	758	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	308	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	93	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	886	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	414	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	235	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1252	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	645	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	385	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	722	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	256	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	78	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	873	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	439	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	210	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1249	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	614	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	391	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	737	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	274	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	87	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	840	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	428	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	221	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1247	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	598	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	403	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	726	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	273	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	93	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	886	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	416	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	212	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1279	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	613	Not Applicable	Not Applicable
